Produccion,Precio,Mes,Año
3272.749,2600.983046,Enero,2020
2856.132,2481.417266,Febrero,2020
3161.221,2336.218231,Marzo,2020
3040.678,2088.003887,Abril,2020
2981.241,1940.357844,Mayo,2020
2766.939,2092.303724,Junio,2020
3032.353,2322.737662,Julio,2020
2873.642,2429.020425,Agosto,2020
2962.288,2629.544969,Septiembre,2020
3443.663,2714.86725,Octubre,2020
3254.377,2934.140464,Noviembre,2020
2727.053,3045.006708,Diciembre,2020
2344.677,3316.037,Enero,2021
1954.723,3383.504,Febrero,2021
3110.364,3645.733,Marzo,2021
2941.277,3661.72,Abril,2021
4145.269,4054.709,Mayo,2021
3907.129,3537.545,Junio,2021
4241.169,4001.667,Julio,2021
3890.441,4271.452,Agosto,2021
4050.462,4282.705,Septiembre,2021
4420.418,4727.3,Octubre,2021
4108.483,4891.935,Noviembre,2021
2594.803,4692.069,Diciembre,2021
