Produccion,Precio,Mes,Año,,
434.768,2600.983046,Enero,2020,,
1445.679,2481.417266,Febrero,2020,,
761.842,2336.218231,Marzo,2020,,
341.401,2088.003887,Abril,2020,,
0,1940.357844,Mayo,2020,,
0,2092.303724,Junio,2020,,
0,2322.737662,Julio,2020,,
0,2429.020425,Agosto,2020,,
0,2629.544969,Septiembre,2020,,
0,2714.86725,Octubre,2020,,
0,2934.140464,Noviembre,2020,,
0,3045.006708,Diciembre,2020,,
0,3316.037,Enero,2021,,
0,3383.504,Febrero,2021,,
0,3645.733,Marzo,2021,,
70.688,3661.72,Abril,2021,,
76.533,4054.709,Mayo,2021,,
58.762,3537.545,Junio,2021,,
77.188,4001.667,Julio,2021,,
63.896,4271.452,Agosto,2021,,
291.157,4282.705,Septiembre,2021,,
493.656,4727.3,Octubre,2021,,
532.271,4891.935,Noviembre,2021,,
541.111,4692.069,Diciembre,2021,,
