Produccion,Precio,Mes,Año,,
4099.883,2600.983046,Enero,2020,,
5048.866,2481.417266,Febrero,2020,,
4778.252,2336.218231,Marzo,2020,,
2667.28,2088.003887,Abril,2020,,
2566.958,1940.357844,Mayo,2020,,
2447.844,2092.303724,Junio,2020,,
3087.337,2322.737662,Julio,2020,,
2528.54,2429.020425,Agosto,2020,,
2219.787,2629.544969,Septiembre,2020,,
1923.359,2714.86725,Octubre,2020,,
1693.695,2934.140464,Noviembre,2020,,
1839.111,3045.006708,Diciembre,2020,,
2482.289,3316.037,Enero,2021,,
2513.55,3383.504,Febrero,2021,,
3876.602,3645.733,Marzo,2021,,
4920.908,3661.72,Abril,2021,,
4081.137,4054.709,Mayo,2021,,
4171.612,3537.545,Junio,2021,,
3328.504,4001.667,Julio,2021,,
2537.919,4271.452,Agosto,2021,,
2184.451,4282.705,Septiembre,2021,,
2076.349,4727.3,Octubre,2021,,
0,4891.935,Noviembre,2021,,
0,4692.069,Diciembre,2021,,
