Produccion,Precio,Mes,Año,,
3823.353,2600.983046,Enero,2020,,
3965.168,2481.417266,Febrero,2020,,
4147.555,2336.218231,Marzo,2020,,
3682.028,2088.003887,Abril,2020,,
3638.784,1940.357844,Mayo,2020,,
3306.912,2092.303724,Junio,2020,,
3241.022,2322.737662,Julio,2020,,
2645.676,2429.020425,Agosto,2020,,
2174.918,2629.544969,Septiembre,2020,,
2073.646,2714.86725,Octubre,2020,,
1954.363,2934.140464,Noviembre,2020,,
1706.213,3045.006708,Diciembre,2020,,
2999.416,3316.037,Enero,2021,,
3767.065,3383.504,Febrero,2021,,
4633.636,3645.733,Marzo,2021,,
3903.69,3661.72,Abril,2021,,
3776.225,4054.709,Mayo,2021,,
3719.656,3537.545,Junio,2021,,
3162.583,4001.667,Julio,2021,,
3199.694,4271.452,Agosto,2021,,
2784.903,4282.705,Septiembre,2021,,
2464.445,4727.3,Octubre,2021,,
2308.478,4891.935,Noviembre,2021,,
2234.39,4692.069,Diciembre,2021,,
