Produccion,Precio,Mes,Año,,
1899.312,2600.983046,Enero,2020,,1899.312
2168.694,2481.417266,Febrero,2020,,2168.694
3025.336,2336.218231,Marzo,2020,,3025.336
2475.466,2088.003887,Abril,2020,,2475.466
2203.881,1940.357844,Mayo,2020,,2203.881
900.804,2092.303724,Junio,2020,,900.804
782.793,2322.737662,Julio,2020,,782.793
965.171,2429.020425,Agosto,2020,,965.171
949.281,2629.544969,Septiembre,2020,,949.281
1017.609,2714.86725,Octubre,2020,,1017.609
890.723,2934.140464,Noviembre,2020,,890.723
799.094,3045.006708,Diciembre,2020,,799.094
1666.12,3316.037,Enero,2021,,1666.12
1907.079,3383.504,Febrero,2021,,1907.079
2659.682,3645.733,Marzo,2021,,2659.682
2045.703,3661.72,Abril,2021,,2045.703
1681.611,4054.709,Mayo,2021,,1681.611
1000.7,3537.545,Junio,2021,,1000.7
893.747,4001.667,Julio,2021,,893.747
923.806,4271.452,Agosto,2021,,923.806
1101.867,4282.705,Septiembre,2021,,1101.867
1273.39,4727.3,Octubre,2021,,1273.39
1433.255,4891.935,Noviembre,2021,,1433.255
1418.962,4692.069,Diciembre,2021,,1418.962
