Produccion,Precio,Mes,Año,,
905.92,2600.983046,Enero,2020,,
935.99,2481.417266,Febrero,2020,,
1582.69,2336.218231,Marzo,2020,,
1785.94,2088.003887,Abril,2020,,
1292.46,1940.357844,Mayo,2020,,
600.89,2092.303724,Junio,2020,,
532.46,2322.737662,Julio,2020,,
422.21,2429.020425,Agosto,2020,,
431.87,2629.544969,Septiembre,2020,,
501.1,2714.86725,Octubre,2020,,
468.36,2934.140464,Noviembre,2020,,
681.88,3045.006708,Diciembre,2020,,
1195.53,3316.037,Enero,2021,,
1085.88,3383.504,Febrero,2021,,
1942.61,3645.733,Marzo,2021,,
1059.03,3661.72,Abril,2021,,
918.565,4054.709,Mayo,2021,,
639.765,3537.545,Junio,2021,,
752.25,4001.667,Julio,2021,,
632.18,4271.452,Agosto,2021,,
773.95,4282.705,Septiembre,2021,,
913.74,4727.3,Octubre,2021,,
1013.82,4891.935,Noviembre,2021,,
1289.14,4692.069,Diciembre,2021,,
