Produccion,Precio,Mes,Año,,
1888.317,2600.983046,Enero,2020,,
2132.85,2481.417266,Febrero,2020,,
3407.736,2336.218231,Marzo,2020,,
3274.094,2088.003887,Abril,2020,,
3172.199,1940.357844,Mayo,2020,,
2486.209,2092.303724,Junio,2020,,
1171.129,2322.737662,Julio,2020,,
803.922,2429.020425,Agosto,2020,,
1157.392,2629.544969,Septiembre,2020,,
1324.278,2714.86725,Octubre,2020,,
1064.596,2934.140464,Noviembre,2020,,
1164.29,3045.006708,Diciembre,2020,,
1422.516,3316.037,Enero,2021,,
2006.928,3383.504,Febrero,2021,,
3236.114,3645.733,Marzo,2021,,
2932.543,3661.72,Abril,2021,,
2582.683,4054.709,Mayo,2021,,
2003.891,3537.545,Junio,2021,,
1665.317,4001.667,Julio,2021,,
1145.364,4271.452,Agosto,2021,,
1394.37,4282.705,Septiembre,2021,,
1237.096,4727.3,Octubre,2021,,
1462.018,4891.935,Noviembre,2021,,
1662.251,4692.069,Diciembre,2021,,
