Produccion,Precio,Mes,Año,,
1637.892,2600.983046,Enero,2020,,
1669.48,2481.417266,Febrero,2020,,
2277.815,2336.218231,Marzo,2020,,
2343.492,2088.003887,Abril,2020,,
2021.561,1940.357844,Mayo,2020,,
1195.117,2092.303724,Junio,2020,,
916.202,2322.737662,Julio,2020,,
845.011,2429.020425,Agosto,2020,,
688.881,2629.544969,Septiembre,2020,,
781.194,2714.86725,Octubre,2020,,
694.12,2934.140464,Noviembre,2020,,
769.632,3045.006708,Diciembre,2020,,
1315.832,3316.037,Enero,2021,,
1504.614,3383.504,Febrero,2021,,
2243.773,3645.733,Marzo,2021,,
2010.012,3661.72,Abril,2021,,
1274.939,4054.709,Mayo,2021,,
986.821,3537.545,Junio,2021,,
743.685,4001.667,Julio,2021,,
647.686,4271.452,Agosto,2021,,
886.589,4282.705,Septiembre,2021,,
933.038,4727.3,Octubre,2021,,
1044.397,4891.935,Noviembre,2021,,
1085.487,4692.069,Diciembre,2021,,
