Produccion,Precio,Mes,Año,,
1557.3,2600.983046,Enero,2020,,
1404.34,2481.417266,Febrero,2020,,
1544.403,2336.218231,Marzo,2020,,
1886.14,2088.003887,Abril,2020,,
1798.104,1940.357844,Mayo,2020,,
2212.96,2092.303724,Junio,2020,,
1906.105,2322.737662,Julio,2020,,
1517.846,2429.020425,Agosto,2020,,
1578.101,2629.544969,Septiembre,2020,,
1488.437,2714.86725,Octubre,2020,,
1346.15,2934.140464,Noviembre,2020,,
1029.864,3045.006708,Diciembre,2020,,
1608.466,3316.037,Enero,2021,,
1422.04,3383.504,Febrero,2021,,
2070.447,3645.733,Marzo,2021,,
2050.895,3661.72,Abril,2021,,
2373.209,4054.709,Mayo,2021,,
2444.683,3537.545,Junio,2021,,
2253.225,4001.667,Julio,2021,,
2833.026,4271.452,Agosto,2021,,
2306.105,4282.705,Septiembre,2021,,
1997.016,4727.3,Octubre,2021,,
1959.136,4891.935,Noviembre,2021,,
1675.918,4692.069,Diciembre,2021,,

