Produccion,Precio,Mes,Año,,
1954.893,2600.983046,Enero,2020,,
1915.732,2481.417266,Febrero,2020,,
2310.039,2336.218231,Marzo,2020,,
2132.16,2088.003887,Abril,2020,,
2067.088,1940.357844,Mayo,2020,,
1518.021,2092.303724,Junio,2020,,
1599.522,2322.737662,Julio,2020,,
1465.092,2429.020425,Agosto,2020,,
1425.835,2629.544969,Septiembre,2020,,
1662.58,2714.86725,Octubre,2020,,
1493.742,2934.140464,Noviembre,2020,,
1376.794,3045.006708,Diciembre,2020,,
2062.227,3316.037,Enero,2021,,
2428.449,3383.504,Febrero,2021,,
3260.269,3645.733,Marzo,2021,,
2666.716,3661.72,Abril,2021,,
2378.302,4054.709,Mayo,2021,,
2239.58,3537.545,Junio,2021,,
1903.828,4001.667,Julio,2021,,
1973.837,4271.452,Agosto,2021,,
1890.265,4282.705,Septiembre,2021,,
1725.067,4727.3,Octubre,2021,,
1733.414,4891.935,Noviembre,2021,,
1640.758,4692.069,Diciembre,2021,,
