Produccion,Precio,Mes,Año,,
975.038,2600.983046,Enero,2020,,
889.661,2481.417266,Febrero,2020,,
1055.741,2336.218231,Marzo,2020,,
713.403,2088.003887,Abril,2020,,
637.982,1940.357844,Mayo,2020,,
724.908,2092.303724,Junio,2020,,
764.886,2322.737662,Julio,2020,,
585.134,2429.020425,Agosto,2020,,
403.801,2629.544969,Septiembre,2020,,
372.144,2714.86725,Octubre,2020,,
294.366,2934.140464,Noviembre,2020,,
389.789,3045.006708,Diciembre,2020,,
558.713,3316.037,Enero,2021,,
623.466,3383.504,Febrero,2021,,
923.062,3645.733,Marzo,2021,,
957.58,3661.72,Abril,2021,,
837.933,4054.709,Mayo,2021,,
941.164,3537.545,Junio,2021,,
900.716,4001.667,Julio,2021,,
815.955,4271.452,Agosto,2021,,
818.304,4282.705,Septiembre,2021,,
746.723,4727.3,Octubre,2021,,
655.589,4891.935,Noviembre,2021,,
693.335,4692.069,Diciembre,2021,,
