Produccion,Precio,Mes,Año,,
5233.654,2600.983046,Enero,2020,,
5905.605,2481.417266,Febrero,2020,,
4285.141,2336.218231,Marzo,2020,,
3668.173,2088.003887,Abril,2020,,
2962.341,1940.357844,Mayo,2020,,
1893.112,2092.303724,Junio,2020,,
2755.735,2322.737662,Julio,2020,,
3244.43,2429.020425,Agosto,2020,,
2816.293,2629.544969,Septiembre,2020,,
2806.554,2714.86725,Octubre,2020,,
2227.6,2934.140464,Noviembre,2020,,
1986.223,3045.006708,Diciembre,2020,,
2357.304,3316.037,Enero,2021,,
2793.65,3383.504,Febrero,2021,,
4331.439,3645.733,Marzo,2021,,
3932.39,3661.72,Abril,2021,,
1590.225,4054.709,Mayo,2021,,
2820.351,3537.545,Junio,2021,,
3035.543,4001.667,Julio,2021,,
3314.203,4271.452,Agosto,2021,,
3730.2,4282.705,Septiembre,2021,,
4215.579,4727.3,Octubre,2021,,
3902.205,4891.935,Noviembre,2021,,
3755.457,4692.069,Diciembre,2021,,
