Produccion,Precio,Mes,Año,,
139.105,2600.983046,Enero,2020,,
193.211,2481.417266,Febrero,2020,,
277.383,2336.218231,Marzo,2020,,
345.778,2088.003887,Abril,2020,,
328.474,1940.357844,Mayo,2020,,
178.219,2092.303724,Junio,2020,,
37.599,2322.737662,Julio,2020,,
21.482,2429.020425,Agosto,2020,,
15.888,2629.544969,Septiembre,2020,,
15.493,2714.86725,Octubre,2020,,
18.89,2934.140464,Noviembre,2020,,
16.677,3045.006708,Diciembre,2020,,
93.516,3316.037,Enero,2021,,
222.253,3383.504,Febrero,2021,,
394.668,3645.733,Marzo,2021,,
457.703,3661.72,Abril,2021,,
589.871,4054.709,Mayo,2021,,
272.028,3537.545,Junio,2021,,
96.524,4001.667,Julio,2021,,
93.423,4271.452,Agosto,2021,,
130.153,4282.705,Septiembre,2021,,
41.509,4727.3,Octubre,2021,,
220.957,4891.935,Noviembre,2021,,
116.847,4692.069,Diciembre,2021,,
