Produccion,Precio,Mes,Año,,
1938.87,2600.983046,Enero,2020,,
2548.58,2481.417266,Febrero,2020,,
2863.26,2336.218231,Marzo,2020,,
2666.34,2088.003887,Abril,2020,,
2203.8,1940.357844,Mayo,2020,,
972.21,2092.303724,Junio,2020,,
996.92,2322.737662,Julio,2020,,
1129.96,2429.020425,Agosto,2020,,
1329.79,2629.544969,Septiembre,2020,,
1739.72,2714.86725,Octubre,2020,,
1313.61,2934.140464,Noviembre,2020,,
1384.34,3045.006708,Diciembre,2020,,
1720.2,3316.037,Enero,2021,,
2580.76,3383.504,Febrero,2021,,
3254.01,3645.733,Marzo,2021,,
2125.42,3661.72,Abril,2021,,
1882.75,4054.709,Mayo,2021,,
1391.9,3537.545,Junio,2021,,
1601.24,4001.667,Julio,2021,,
1710.47,4271.452,Agosto,2021,,
2090.48,4282.705,Septiembre,2021,,
2349.52,4727.3,Octubre,2021,,
2395.29,4891.935,Noviembre,2021,,
2335.05,4692.069,Diciembre,2021,,
