Produccion,Precio,Mes,Año,,
2173.12,2600.983046,Enero,2020,,
2582.1,2481.417266,Febrero,2020,,
2517.62,2336.218231,Marzo,2020,,
2269.58,2088.003887,Abril,2020,,
1832.11,1940.357844,Mayo,2020,,
1625.55,2092.303724,Junio,2020,,
1905.68,2322.737662,Julio,2020,,
1525.78,2429.020425,Agosto,2020,,
1300.32,2629.544969,Septiembre,2020,,
1122.36,2714.86725,Octubre,2020,,
992.04,2934.140464,Noviembre,2020,,
945.55,3045.006708,Diciembre,2020,,
0,3316.037,Enero,2021,,
0,3383.504,Febrero,2021,,
1201.901,3645.733,Marzo,2021,,
1456.075,3661.72,Abril,2021,,
1259.735,4054.709,Mayo,2021,,
1031.791,3537.545,Junio,2021,,
861.91,4001.667,Julio,2021,,
753.896,4271.452,Agosto,2021,,
760.307,4282.705,Septiembre,2021,,
658.706,4727.3,Octubre,2021,,
589.012,4891.935,Noviembre,2021,,
563.83,4692.069,Diciembre,2021,,
