Produccion,Precio,Mes,Año,,
2649.834,2600.983046,Enero,2020,,
3934.677,2481.417266,Febrero,2020,,
5171.443,2336.218231,Marzo,2020,,
5617.607,2088.003887,Abril,2020,,
4761.517,1940.357844,Mayo,2020,,
3248.582,2092.303724,Junio,2020,,
2263.684,2322.737662,Julio,2020,,
1713.476,2429.020425,Agosto,2020,,
2048.46,2629.544969,Septiembre,2020,,
2174.774,2714.86725,Octubre,2020,,
2015.466,2934.140464,Noviembre,2020,,
2105.683,3045.006708,Diciembre,2020,,
3856.56,3316.037,Enero,2021,,
3723.467,3383.504,Febrero,2021,,
5112.986,3645.733,Marzo,2021,,
3601.758,3661.72,Abril,2021,,
3352.462,4054.709,Mayo,2021,,
2604.632,3537.545,Junio,2021,,
2142.208,4001.667,Julio,2021,,
1728.665,4271.452,Agosto,2021,,
2326.726,4282.705,Septiembre,2021,,
3035.165,4727.3,Octubre,2021,,
3936.131,4891.935,Noviembre,2021,,
4108.644,4692.069,Diciembre,2021,,
