Produccion,Precio,Mes,Año,,
5726.577,2600.983046,Enero,2020,,
5902.145,2481.417266,Febrero,2020,,
6200.278,2336.218231,Marzo,2020,,
5427.273,2088.003887,Abril,2020,,
5175.03,1940.357844,Mayo,2020,,
4140.159,2092.303724,Junio,2020,,
4481.965,2322.737662,Julio,2020,,
4758.313,2429.020425,Agosto,2020,,
4706.028,2629.544969,Septiembre,2020,,
4617.602,2714.86725,Octubre,2020,,
4179.833,2934.140464,Noviembre,2020,,
3457.979,3045.006708,Diciembre,2020,,
5586.059,3316.037,Enero,2021,,
6025.328,3383.504,Febrero,2021,,
6236.446,3645.733,Marzo,2021,,
5532.887,3661.72,Abril,2021,,
5398.353,4054.709,Mayo,2021,,
4739.009,3537.545,Junio,2021,,
5918.226,4001.667,Julio,2021,,
5844.939,4271.452,Agosto,2021,,
5407.796,4282.705,Septiembre,2021,,
4954.078,4727.3,Octubre,2021,,
4566.159,4891.935,Noviembre,2021,,
4725.84,4692.069,Diciembre,2021,,
