Produccion,Precio,Mes,Año,,
3103.109,2600.983046,Enero,2020,,
3723.005,2481.417266,Febrero,2020,,
4152.305,2336.218231,Marzo,2020,,
3646.917,2088.003887,Abril,2020,,
2667.371,1940.357844,Mayo,2020,,
2649.318,2092.303724,Junio,2020,,
2845.489,2322.737662,Julio,2020,,
1151.707,2429.020425,Agosto,2020,,
2807.07,2629.544969,Septiembre,2020,,
2411.374,2714.86725,Octubre,2020,,
2064.615,2934.140464,Noviembre,2020,,
1988.527,3045.006708,Diciembre,2020,,
2730.393,3316.037,Enero,2021,,
3047.705,3383.504,Febrero,2021,,
3912.127,3645.733,Marzo,2021,,
4179.957,3661.72,Abril,2021,,
4016.882,4054.709,Mayo,2021,,
4187.95,3537.545,Junio,2021,,
3806.644,4001.667,Julio,2021,,
2640.119,4271.452,Agosto,2021,,
3195.154,4282.705,Septiembre,2021,,
2906.014,4727.3,Octubre,2021,,
2532.849,4891.935,Noviembre,2021,,
2781.567,4692.069,Diciembre,2021,,
