Produccion,Precio,Mes,Año,,
1979.63,2600.983046,Enero,2020,,
2192.126,2481.417266,Febrero,2020,,
2109.451,2336.218231,Marzo,2020,,
1796.983,2088.003887,Abril,2020,,
1780.584,1940.357844,Mayo,2020,,
1548.552,2092.303724,Junio,2020,,
1449.327,2322.737662,Julio,2020,,
1518.721,2429.020425,Agosto,2020,,
1059.799,2629.544969,Septiembre,2020,,
946.251,2714.86725,Octubre,2020,,
845.903,2934.140464,Noviembre,2020,,
900.043,3045.006708,Diciembre,2020,,
1008.889,3316.037,Enero,2021,,
1422.526,3383.504,Febrero,2021,,
1702.28,3645.733,Marzo,2021,,
1505.999,3661.72,Abril,2021,,
1859.617,4054.709,Mayo,2021,,
1494.034,3537.545,Junio,2021,,
1222.129,4001.667,Julio,2021,,
978.941,4271.452,Agosto,2021,,
925.179,4282.705,Septiembre,2021,,
1159.151,4727.3,Octubre,2021,,
1094.521,4891.935,Noviembre,2021,,
1214.014,4692.069,Diciembre,2021,,
