Produccion,Precio,Mes,Año,,
384.728,2600.983046,Enero,2020,,
490.677,2481.417266,Febrero,2020,,
501.137,2336.218231,Marzo,2020,,
389.163,2088.003887,Abril,2020,,
351.98,1940.357844,Mayo,2020,,
354.714,2092.303724,Junio,2020,,
512.433,2322.737662,Julio,2020,,
606.9,2429.020425,Agosto,2020,,
412.575,2629.544969,Septiembre,2020,,
405.386,2714.86725,Octubre,2020,,
310.422,2934.140464,Noviembre,2020,,
447.324,3045.006708,Diciembre,2020,,
587.787,3316.037,Enero,2021,,
656.398,3383.504,Febrero,2021,,
1300.201,3645.733,Marzo,2021,,
899.925,3661.72,Abril,2021,,
952.032,4054.709,Mayo,2021,,
1096.365,3537.545,Junio,2021,,
812.81,4001.667,Julio,2021,,
703.71,4271.452,Agosto,2021,,
798.165,4282.705,Septiembre,2021,,
796.789,4727.3,Octubre,2021,,
779.017,4891.935,Noviembre,2021,,
660.978,4692.069,Diciembre,2021,,
