Produccion,Precio,Mes,Año,,
3577.086,2600.983046,Enero,2020,,
4512.848,2481.417266,Febrero,2020,,
5873.809,2336.218231,Marzo,2020,,
6319.821,2088.003887,Abril,2020,,
6883.973,1940.357844,Mayo,2020,,
5279.229,2092.303724,Junio,2020,,
5176.527,2322.737662,Julio,2020,,
3911.973,2429.020425,Agosto,2020,,
3096.842,2629.544969,Septiembre,2020,,
3689.916,2714.86725,Octubre,2020,,
3040.431,2934.140464,Noviembre,2020,,
3427.726,3045.006708,Diciembre,2020,,
4841.824,3316.037,Enero,2021,,
5011.361,3383.504,Febrero,2021,,
7373.218,3645.733,Marzo,2021,,
5908.278,3661.72,Abril,2021,,
5091.395,4054.709,Mayo,2021,,
4258.372,3537.545,Junio,2021,,
4658.801,4001.667,Julio,2021,,
3982.761,4271.452,Agosto,2021,,
4064.775,4282.705,Septiembre,2021,,
4011.948,4727.3,Octubre,2021,,
3962.356,4891.935,Noviembre,2021,,
4253.94,4692.069,Diciembre,2021,,
