Produccion,Precio,Mes,Año,,
3555.144,2600.983046,Enero,2020,,
3159.352,2481.417266,Febrero,2020,,
3734.897,2336.218231,Marzo,2020,,
4660.214,2088.003887,Abril,2020,,
5248.127,1940.357844,Mayo,2020,,
4890.407,2092.303724,Junio,2020,,
5278.854,2322.737662,Julio,2020,,
3587.763,2429.020425,Agosto,2020,,
2933.365,2629.544969,Septiembre,2020,,
3083.87,2714.86725,Octubre,2020,,
2404.541,2934.140464,Noviembre,2020,,
2576.06,3045.006708,Diciembre,2020,,
3568.119,3316.037,Enero,2021,,
3132.001,3383.504,Febrero,2021,,
4686.495,3645.733,Marzo,2021,,
4292.905,3661.72,Abril,2021,,
3958.349,4054.709,Mayo,2021,,
3824.31,3537.545,Junio,2021,,
3609.897,4001.667,Julio,2021,,
3515.437,4271.452,Agosto,2021,,
2860.188,4282.705,Septiembre,2021,,
2757.112,4727.3,Octubre,2021,,
2949.926,4891.935,Noviembre,2021,,
2657.82,4692.069,Diciembre,2021,,
