Produccion,Precio,Mes,Año,,
236.602,2600.983046,Enero,2020,,
260.224,2481.417266,Febrero,2020,,
380.748,2336.218231,Marzo,2020,,
515.438,2088.003887,Abril,2020,,
338.981,1940.357844,Mayo,2020,,
194.532,2092.303724,Junio,2020,,
177.652,2322.737662,Julio,2020,,
88.643,2429.020425,Agosto,2020,,
93.275,2629.544969,Septiembre,2020,,
110.675,2714.86725,Octubre,2020,,
81.595,2934.140464,Noviembre,2020,,
112.691,3045.006708,Diciembre,2020,,
193.632,3316.037,Enero,2021,,
267.078,3383.504,Febrero,2021,,
548.664,3645.733,Marzo,2021,,
367.209,3661.72,Abril,2021,,
244.912,4054.709,Mayo,2021,,
144.727,3537.545,Junio,2021,,
102.518,4001.667,Julio,2021,,
83.701,4271.452,Agosto,2021,,
119.461,4282.705,Septiembre,2021,,
131.9,4727.3,Octubre,2021,,
176.041,4891.935,Noviembre,2021,,
227.395,4692.069,Diciembre,2021,,
