Produccion,Precio,Mes,Año,,
2855.64,2600.983046,Enero,2020,,
3449.114,2481.417266,Febrero,2020,,
4341.699,2336.218231,Marzo,2020,,
4252.763,2088.003887,Abril,2020,,
4268.953,1940.357844,Mayo,2020,,
3108.441,2092.303724,Junio,2020,,
2230.122,2322.737662,Julio,2020,,
2052.06,2429.020425,Agosto,2020,,
2197.636,2629.544969,Septiembre,2020,,
1771.633,2714.86725,Octubre,2020,,
3062.169,2934.140464,Noviembre,2020,,
2966.114,3045.006708,Diciembre,2020,,
3180.436,3316.037,Enero,2021,,
3266.425,3383.504,Febrero,2021,,
4754.835,3645.733,Marzo,2021,,
4668.889,3661.72,Abril,2021,,
4173.248,4054.709,Mayo,2021,,
3359.629,3537.545,Junio,2021,,
2020.986,4001.667,Julio,2021,,
2944.714,4271.452,Agosto,2021,,
2975.626,4282.705,Septiembre,2021,,
3384.649,4727.3,Octubre,2021,,
3733.887,4891.935,Noviembre,2021,,
3499.68,4692.069,Diciembre,2021,,
