Produccion,Precio,Mes,Año,,
1516.216,2600.983046,Enero,2020,,
1695.707,2481.417266,Febrero,2020,,
1876.396,2336.218231,Marzo,2020,,
1514.885,2088.003887,Abril,2020,,
1206.434,1940.357844,Mayo,2020,,
878.9,2092.303724,Junio,2020,,
630.253,2322.737662,Julio,2020,,
437.491,2429.020425,Agosto,2020,,
192.019,2629.544969,Septiembre,2020,,
140.953,2714.86725,Octubre,2020,,
307.886,2934.140464,Noviembre,2020,,
333.357,3045.006708,Diciembre,2020,,
832.414,3316.037,Enero,2021,,
1596.844,3383.504,Febrero,2021,,
2064.08,3645.733,Marzo,2021,,
2121.292,3661.72,Abril,2021,,
1882.54,4054.709,Mayo,2021,,
1214.162,3537.545,Junio,2021,,
947.984,4001.667,Julio,2021,,
820.024,4271.452,Agosto,2021,,
978.41,4282.705,Septiembre,2021,,
1044.787,4727.3,Octubre,2021,,
1020.503,4891.935,Noviembre,2021,,
1263.817,4692.069,Diciembre,2021,,
