Produccion,Precio,Mes,Año,,
5702.579,2600.983046,Enero,2020,,
6022.837,2481.417266,Febrero,2020,,
8646.346,2336.218231,Marzo,2020,,
8792.194,2088.003887,Abril,2020,,
7957.195,1940.357844,Mayo,2020,,
5897.927,2092.303724,Junio,2020,,
3874.311,2322.737662,Julio,2020,,
3301.49,2429.020425,Agosto,2020,,
2877.712,2629.544969,Septiembre,2020,,
3607.02,2714.86725,Octubre,2020,,
3203.488,2934.140464,Noviembre,2020,,
3071.881,3045.006708,Diciembre,2020,,
5380.019,3316.037,Enero,2021,,
6090.754,3383.504,Febrero,2021,,
8962.821,3645.733,Marzo,2021,,
7159.894,3661.72,Abril,2021,,
6273.736,4054.709,Mayo,2021,,
3983.626,3537.545,Junio,2021,,
3635.736,4001.667,Julio,2021,,
2722.603,4271.452,Agosto,2021,,
3257.642,4282.705,Septiembre,2021,,
5287.204,4727.3,Octubre,2021,,
5915.992,4891.935,Noviembre,2021,,
4715.787,4692.069,Diciembre,2021,,
