Produccion,Precio,Mes,Año,,
1457.834,2600.983046,Enero,2020,,
1689.355,2481.417266,Febrero,2020,,
2187.118,2336.218231,Marzo,2020,,
1959.831,2088.003887,Abril,2020,,
1996.977,1940.357844,Mayo,2020,,
1376.337,2092.303724,Junio,2020,,
1148.905,2322.737662,Julio,2020,,
817.118,2429.020425,Agosto,2020,,
741.361,2629.544969,Septiembre,2020,,
863.257,2714.86725,Octubre,2020,,
676.079,2934.140464,Noviembre,2020,,
766.283,3045.006708,Diciembre,2020,,
1291.478,3316.037,Enero,2021,,
1328.224,3383.504,Febrero,2021,,
2254.997,3645.733,Marzo,2021,,
1823.148,3661.72,Abril,2021,,
1583.406,4054.709,Mayo,2021,,
992.695,3537.545,Junio,2021,,
932.663,4001.667,Julio,2021,,
912.53,4271.452,Agosto,2021,,
1104.553,4282.705,Septiembre,2021,,
1173.966,4727.3,Octubre,2021,,
1090.263,4891.935,Noviembre,2021,,
1353.24,4692.069,Diciembre,2021,,
