Produccion,Precio,Mes,Año,,
2928.226,2600.983046,Enero,2020,,
2685.073,2481.417266,Febrero,2020,,
2786.381,2336.218231,Marzo,2020,,
2877.48,2088.003887,Abril,2020,,
2991.904,1940.357844,Mayo,2020,,
3030.415,2092.303724,Junio,2020,,
2954.137,2322.737662,Julio,2020,,
2703.592,2429.020425,Agosto,2020,,
2219.449,2629.544969,Septiembre,2020,,
2126.949,2714.86725,Octubre,2020,,
1823.714,2934.140464,Noviembre,2020,,
1949.995,3045.006708,Diciembre,2020,,
2701.345,3316.037,Enero,2021,,
2987.837,3383.504,Febrero,2021,,
3268.972,3645.733,Marzo,2021,,
3383.175,3661.72,Abril,2021,,
3542.622,4054.709,Mayo,2021,,
2425.297,3537.545,Junio,2021,,
3236.582,4001.667,Julio,2021,,
3047.374,4271.452,Agosto,2021,,
2917.277,4282.705,Septiembre,2021,,
3231.865,4727.3,Octubre,2021,,
2741.015,4891.935,Noviembre,2021,,
2793.365,4692.069,Diciembre,2021,,
