Produccion,Precio,Mes,Año,,
2385.914,2600.983046,Enero,2020,,
3018.156,2481.417266,Febrero,2020,,
3204.964,2336.218231,Marzo,2020,,
2940.139,2088.003887,Abril,2020,,
2987.876,1940.357844,Mayo,2020,,
2493.67,2092.303724,Junio,2020,,
2609.506,2322.737662,Julio,2020,,
2025.097,2429.020425,Agosto,2020,,
1802.825,2629.544969,Septiembre,2020,,
1941.6,2714.86725,Octubre,2020,,
1767.296,2934.140464,Noviembre,2020,,
1462.866,3045.006708,Diciembre,2020,,
2696.246,3316.037,Enero,2021,,
2705.433,3383.504,Febrero,2021,,
2895.098,3645.733,Marzo,2021,,
2907.902,3661.72,Abril,2021,,
2797.338,4054.709,Mayo,2021,,
3131.7,3537.545,Junio,2021,,
2763.753,4001.667,Julio,2021,,
2713.375,4271.452,Agosto,2021,,
1964.147,4282.705,Septiembre,2021,,
1975.457,4727.3,Octubre,2021,,
1900.555,4891.935,Noviembre,2021,,
1536.426,4692.069,Diciembre,2021,,
