Produccion,Precio,Mes,Año,,
968.919,2600.983046,Enero,2020,,
1150.746,2481.417266,Febrero,2020,,
1746.072,2336.218231,Marzo,2020,,
1857.33,2088.003887,Abril,2020,,
1511.623,1940.357844,Mayo,2020,,
778.143,2092.303724,Junio,2020,,
615.365,2322.737662,Julio,2020,,
512.903,2429.020425,Agosto,2020,,
533.772,2629.544969,Septiembre,2020,,
598.615,2714.86725,Octubre,2020,,
500.109,2934.140464,Noviembre,2020,,
450.356,3045.006708,Diciembre,2020,,
877.805,3316.037,Enero,2021,,
1172.022,3383.504,Febrero,2021,,
1978.45,3645.733,Marzo,2021,,
1569.559,3661.72,Abril,2021,,
1119.438,4054.709,Mayo,2021,,
725.637,3537.545,Junio,2021,,
651.134,4001.667,Julio,2021,,
549.946,4271.452,Agosto,2021,,
665.493,4282.705,Septiembre,2021,,
779.744,4727.3,Octubre,2021,,
807.708,4891.935,Noviembre,2021,,
700.849,4692.069,Diciembre,2021,,
