Produccion,Precio,Mes,Año,,
986.704,2600.983046,Enero,2020,,
854.384,2481.417266,Febrero,2020,,
1150.378,2336.218231,Marzo,2020,,
1282.589,2088.003887,Abril,2020,,
1291.896,1940.357844,Mayo,2020,,
837.349,2092.303724,Junio,2020,,
743.023,2322.737662,Julio,2020,,
432.138,2429.020425,Agosto,2020,,
405.652,2629.544969,Septiembre,2020,,
536.441,2714.86725,Octubre,2020,,
399.831,2934.140464,Noviembre,2020,,
448.8,3045.006708,Diciembre,2020,,
645.76,3316.037,Enero,2021,,
888.25,3383.504,Febrero,2021,,
1313.266,3645.733,Marzo,2021,,
1113.792,3661.72,Abril,2021,,
828.176,4054.709,Mayo,2021,,
589.345,3537.545,Junio,2021,,
485.166,4001.667,Julio,2021,,
581.293,4271.452,Agosto,2021,,
1066.388,4282.705,Septiembre,2021,,
636.855,4727.3,Octubre,2021,,
603.307,4891.935,Noviembre,2021,,
667.094,4692.069,Diciembre,2021,,
