Produccion,Precio,Mes,Año,,
1284.761,2600.983046,Enero,2020,,
1018.166,2481.417266,Febrero,2020,,
1146.39,2336.218231,Marzo,2020,,
1400.745,2088.003887,Abril,2020,,
1411.159,1940.357844,Mayo,2020,,
1244.28,2092.303724,Junio,2020,,
1341.5,2322.737662,Julio,2020,,
1283.891,2429.020425,Agosto,2020,,
1220.283,2629.544969,Septiembre,2020,,
1095.967,2714.86725,Octubre,2020,,
853.323,2934.140464,Noviembre,2020,,
813.828,3045.006708,Diciembre,2020,,
1214.12,3316.037,Enero,2021,,
1204.87,3383.504,Febrero,2021,,
2211.75,3645.733,Marzo,2021,,
3213.86,3661.72,Abril,2021,,
3117.8,4054.709,Mayo,2021,,
2991.707,3537.545,Junio,2021,,
2654.412,4001.667,Julio,2021,,
2661.077,4271.452,Agosto,2021,,
2492.62,4282.705,Septiembre,2021,,
2411.83,4727.3,Octubre,2021,,
2252.65,4891.935,Noviembre,2021,,
2338.55,4692.069,Diciembre,2021,,
