Produccion,Precio,Mes,Año,,
467.494,2600.983046,Enero,2020,,
604.074,2481.417266,Febrero,2020,,
891.997,2336.218231,Marzo,2020,,
884.887,2088.003887,Abril,2020,,
691.997,1940.357844,Mayo,2020,,
296.526,2092.303724,Junio,2020,,
245.267,2322.737662,Julio,2020,,
178.942,2429.020425,Agosto,2020,,
190.83,2629.544969,Septiembre,2020,,
218.233,2714.86725,Octubre,2020,,
225.39,2934.140464,Noviembre,2020,,
269.888,3045.006708,Diciembre,2020,,
503.947,3316.037,Enero,2021,,
600.946,3383.504,Febrero,2021,,
931.666,3645.733,Marzo,2021,,
669.621,3661.72,Abril,2021,,
524.064,4054.709,Mayo,2021,,
318.774,3537.545,Junio,2021,,
212.081,4001.667,Julio,2021,,
163.813,4271.452,Agosto,2021,,
261.958,4282.705,Septiembre,2021,,
241.405,4727.3,Octubre,2021,,
339.707,4891.935,Noviembre,2021,,
389.154,4692.069,Diciembre,2021,,
