Produccion,Precio,Mes,Año,,
4420.852,2600.983046,Enero,2020,,
5166.58,2481.417266,Febrero,2020,,
5320.141,2336.218231,Marzo,2020,,
4596.923,2088.003887,Abril,2020,,
3223.004,1940.357844,Mayo,2020,,
2501.73,2092.303724,Junio,2020,,
3052.547,2322.737662,Julio,2020,,
2678.824,2429.020425,Agosto,2020,,
2501.568,2629.544969,Septiembre,2020,,
2383.584,2714.86725,Octubre,2020,,
2174.461,2934.140464,Noviembre,2020,,
2582.588,3045.006708,Diciembre,2020,,
3660.51,3316.037,Enero,2021,,
3696.169,3383.504,Febrero,2021,,
4635.123,3645.733,Marzo,2021,,
5051.679,3661.72,Abril,2021,,
5006.483,4054.709,Mayo,2021,,
4575.113,3537.545,Junio,2021,,
4614.398,4001.667,Julio,2021,,
3842.135,4271.452,Agosto,2021,,
3702.306,4282.705,Septiembre,2021,,
3240.615,4727.3,Octubre,2021,,
3301.696,4891.935,Noviembre,2021,,
3297.728,4692.069,Diciembre,2021,,
