Produccion,Precio,Mes,Año
540.076,2600.983046,Enero,2020
587.444,2481.417266,Febrero,2020
642.742,2336.218231,Marzo,2020
855.456,2088.003887,Abril,2020
836.325,1940.357844,Mayo,2020
659.589,2092.303724,Junio,2020
619.095,2322.737662,Julio,2020
711.916,2429.020425,Agosto,2020
445.811,2629.544969,Septiembre,2020
515.071,2714.86725,Octubre,2020
484.985,2934.140464,Noviembre,2020
653.641,3045.006708,Diciembre,2020
620.296,3316.037,Enero,2021
706.344,3383.504,Febrero,2021
764.533,3645.733,Marzo,2021
602.799,3661.72,Abril,2021
751.084,4054.709,Mayo,2021
729.237,3537.545,Junio,2021
721.078,4001.667,Julio,2021
671.967,4271.452,Agosto,2021
754.122,4282.705,Septiembre,2021
733.729,4727.3,Octubre,2021
770.929,4891.935,Noviembre,2021
638.908,4692.069,Diciembre,2021
