Produccion,Precio,Mes,Año,,
2231.569,2600.983046,Enero,2020,,
2200.798,2481.417266,Febrero,2020,,
2365.634,2336.218231,Marzo,2020,,
2173.577,2088.003887,Abril,2020,,
2173.939,1940.357844,Mayo,2020,,
1798.621,2092.303724,Junio,2020,,
1923.901,2322.737662,Julio,2020,,
1390.751,2429.020425,Agosto,2020,,
1162.524,2629.544969,Septiembre,2020,,
1242.249,2714.86725,Octubre,2020,,
1190.628,2934.140464,Noviembre,2020,,
1167.987,3045.006708,Diciembre,2020,,
2238.504,3316.037,Enero,2021,,
2335.616,3383.504,Febrero,2021,,
2655.728,3645.733,Marzo,2021,,
2662.732,3661.72,Abril,2021,,
2510.768,4054.709,Mayo,2021,,
2808.249,3537.545,Junio,2021,,
2248.5,4001.667,Julio,2021,,
1545.479,4271.452,Agosto,2021,,
1501.003,4282.705,Septiembre,2021,,
1261.16,4727.3,Octubre,2021,,
1256.806,4891.935,Noviembre,2021,,
1280.623,4692.069,Diciembre,2021,,
