Produccion,Precio,Mes,Año,,
1920.231,2600.983046,Enero,2020,,
2174.206,2481.417266,Febrero,2020,,
2068.852,2336.218231,Marzo,2020,,
1976.328,2088.003887,Abril,2020,,
2042.074,1940.357844,Mayo,2020,,
1568.221,2092.303724,Junio,2020,,
1753.172,2322.737662,Julio,2020,,
1630.439,2429.020425,Agosto,2020,,
1581.945,2629.544969,Septiembre,2020,,
1796.661,2714.86725,Octubre,2020,,
1572.686,2934.140464,Noviembre,2020,,
1531.394,3045.006708,Diciembre,2020,,
2039.285,3316.037,Enero,2021,,
2355.759,3383.504,Febrero,2021,,
2611.606,3645.733,Marzo,2021,,
2087.219,3661.72,Abril,2021,,
2290.895,4054.709,Mayo,2021,,
1970.946,3537.545,Junio,2021,,
2022.28,4001.667,Julio,2021,,
2043.692,4271.452,Agosto,2021,,
1791.111,4282.705,Septiembre,2021,,
1640.941,4727.3,Octubre,2021,,
1576.542,4891.935,Noviembre,2021,,
1723.425,4692.069,Diciembre,2021,,
