Produccion,Precio,Mes,Año,,
3337.95,2600.983046,Enero,2020,,
3933.418,2481.417266,Febrero,2020,,
3583.694,2336.218231,Marzo,2020,,
3372.948,2088.003887,Abril,2020,,
2768.569,1940.357844,Mayo,2020,,
2272.16,2092.303724,Junio,2020,,
2522.855,2322.737662,Julio,2020,,
2616.772,2429.020425,Agosto,2020,,
1902.018,2629.544969,Septiembre,2020,,
1836.075,2714.86725,Octubre,2020,,
1638.389,2934.140464,Noviembre,2020,,
1681.187,3045.006708,Diciembre,2020,,
1878.419,3316.037,Enero,2021,,
1982.95,3383.504,Febrero,2021,,
3166.561,3645.733,Marzo,2021,,
3465.845,3661.72,Abril,2021,,
3722.351,4054.709,Mayo,2021,,
3861.514,3537.545,Junio,2021,,
3108.093,4001.667,Julio,2021,,
2785.429,4271.452,Agosto,2021,,
2418.931,4282.705,Septiembre,2021,,
2126.396,4727.3,Octubre,2021,,
3957.919,4891.935,Noviembre,2021,,
3974.649,4692.069,Diciembre,2021,,
