Produccion,Precio,Mes,Año,,
2099.26,2600.983046,Enero,2020,,
2345.14,2481.417266,Febrero,2020,,
2415.77,2336.218231,Marzo,2020,,
2175.29,2088.003887,Abril,2020,,
1799.5,1940.357844,Mayo,2020,,
1835.37,2092.303724,Junio,2020,,
1774.67,2322.737662,Julio,2020,,
1338.78,2429.020425,Agosto,2020,,
1102.24,2629.544969,Septiembre,2020,,
810.65,2714.86725,Octubre,2020,,
776.02,2934.140464,Noviembre,2020,,
953.93,3045.006708,Diciembre,2020,,
1155.39,3316.037,Enero,2021,,
1749.04,3383.504,Febrero,2021,,
2330.06,3645.733,Marzo,2021,,
2238.67,3661.72,Abril,2021,,
2448.7,4054.709,Mayo,2021,,
2248.88,3537.545,Junio,2021,,
1917.84,4001.667,Julio,2021,,
1464.06,4271.452,Agosto,2021,,
1481.98,4282.705,Septiembre,2021,,
1326.39,4727.3,Octubre,2021,,
1159.89,4891.935,Noviembre,2021,,
1271.19,4692.069,Diciembre,2021,,
