Produccion,Precio,Mes,Año,,
4230.83,2600.983046,Enero,2020,,
5278.014,2481.417266,Febrero,2020,,
6599.019,2336.218231,Marzo,2020,,
6730.202,2088.003887,Abril,2020,,
6506.588,1940.357844,Mayo,2020,,
5287.898,2092.303724,Junio,2020,,
4632.708,2322.737662,Julio,2020,,
3719.605,2429.020425,Agosto,2020,,
3861.177,2629.544969,Septiembre,2020,,
4389.445,2714.86725,Octubre,2020,,
3980.613,2934.140464,Noviembre,2020,,
3004.965,3045.006708,Diciembre,2020,,
4785.676,3316.037,Enero,2021,,
5660.818,3383.504,Febrero,2021,,
7422.764,3645.733,Marzo,2021,,
7265.212,3661.72,Abril,2021,,
6303.326,4054.709,Mayo,2021,,
4742.129,3537.545,Junio,2021,,
5296.495,4001.667,Julio,2021,,
5915.735,4271.452,Agosto,2021,,
6245.636,4282.705,Septiembre,2021,,
7164.603,4727.3,Octubre,2021,,
7005.853,4891.935,Noviembre,2021,,
5852.364,4692.069,Diciembre,2021,,
