Produccion,Precio,Mes,Año,,
5808.13,2600.983046,Enero,2020,,
6863.08,2481.417266,Febrero,2020,,
6911.38,2336.218231,Marzo,2020,,
6033.89,2088.003887,Abril,2020,,
4482.3,1940.357844,Mayo,2020,,
4167.77,2092.303724,Junio,2020,,
3874.2,2322.737662,Julio,2020,,
3775.52,2429.020425,Agosto,2020,,
2897.53,2629.544969,Septiembre,2020,,
2763.71,2714.86725,Octubre,2020,,
2466.29,2934.140464,Noviembre,2020,,
2181.98,3045.006708,Diciembre,2020,,
4617.3,3316.037,Enero,2021,,
6201.9,3383.504,Febrero,2021,,
8905.23,3645.733,Marzo,2021,,
4183.65,3661.72,Abril,2021,,
5805.41,4054.709,Mayo,2021,,
4892.75,3537.545,Junio,2021,,
4367.58,4001.667,Julio,2021,,
4133.54,4271.452,Agosto,2021,,
4117.7,4282.705,Septiembre,2021,,
3631.2,4727.3,Octubre,2021,,
2969.89,4891.935,Noviembre,2021,,
3333.26,4692.069,Diciembre,2021,,
