Produccion,Precio,Mes,Año,,
499.27,2600.983046,Enero,2020,,
539.868,2481.417266,Febrero,2020,,
598.223,2336.218231,Marzo,2020,,
556.759,2088.003887,Abril,2020,,
463.75,1940.357844,Mayo,2020,,
277.69,2092.303724,Junio,2020,,
295.55,2322.737662,Julio,2020,,
516.22,2429.020425,Agosto,2020,,
465.18,2629.544969,Septiembre,2020,,
389.56,2714.86725,Octubre,2020,,
341.627,2934.140464,Noviembre,2020,,
399.001,3045.006708,Diciembre,2020,,
343.835,3316.037,Enero,2021,,
444.91,3383.504,Febrero,2021,,
555.596,3645.733,Marzo,2021,,
577.024,3661.72,Abril,2021,,
169.349,4054.709,Mayo,2021,,
792.026,3537.545,Junio,2021,,
799.364,4001.667,Julio,2021,,
709.158,4271.452,Agosto,2021,,
856.016,4282.705,Septiembre,2021,,
823.756,4727.3,Octubre,2021,,
882.344,4891.935,Noviembre,2021,,
752.753,4692.069,Diciembre,2021,,
