Produccion,Precio,Mes,Año,,
1472.24,2600.983046,Enero,2020,,
1400.094,2481.417266,Febrero,2020,,
1161.874,2336.218231,Marzo,2020,,
1079.458,2088.003887,Abril,2020,,
1186.111,1940.357844,Mayo,2020,,
1173.299,2092.303724,Junio,2020,,
1343.352,2322.737662,Julio,2020,,
1223.082,2429.020425,Agosto,2020,,
1002.784,2629.544969,Septiembre,2020,,
1094.758,2714.86725,Octubre,2020,,
1274.021,2934.140464,Noviembre,2020,,
1290.578,3045.006708,Diciembre,2020,,
1465.124,3316.037,Enero,2021,,
1268.733,3383.504,Febrero,2021,,
1633.144,3645.733,Marzo,2021,,
1363.593,3661.72,Abril,2021,,
1471.236,4054.709,Mayo,2021,,
1695.7,3537.545,Junio,2021,,
1562.418,4001.667,Julio,2021,,
1683.487,4271.452,Agosto,2021,,
1518.896,4282.705,Septiembre,2021,,
1396.048,4727.3,Octubre,2021,,
1125.661,4891.935,Noviembre,2021,,
1301.975,4692.069,Diciembre,2021,,
