Produccion,Precio,Mes,Año,,
996.171,2600.983046,Enero,2020,,
988.68,2481.417266,Febrero,2020,,
1129.252,2336.218231,Marzo,2020,,
746.521,2088.003887,Abril,2020,,
1368.847,1940.357844,Mayo,2020,,
1253.172,2092.303724,Junio,2020,,
1226.232,2322.737662,Julio,2020,,
979.764,2429.020425,Agosto,2020,,
978.359,2629.544969,Septiembre,2020,,
872.775,2714.86725,Octubre,2020,,
831.664,2934.140464,Noviembre,2020,,
929.18,3045.006708,Diciembre,2020,,
1021.468,3316.037,Enero,2021,,
899.762,3383.504,Febrero,2021,,
1192.161,3645.733,Marzo,2021,,
1034.25,3661.72,Abril,2021,,
1298.9,4054.709,Mayo,2021,,
1290.366,3537.545,Junio,2021,,
1247.663,4001.667,Julio,2021,,
1140.944,4271.452,Agosto,2021,,
1103.813,4282.705,Septiembre,2021,,
1000.713,4727.3,Octubre,2021,,
1202.462,4891.935,Noviembre,2021,,
1292.334,4692.069,Diciembre,2021,,
