Produccion,Precio,Mes,Año,,
881.549,2600.983046,Enero,2020,,
906.549,2481.417266,Febrero,2020,,
1343.847,2336.218231,Marzo,2020,,
1290.106,2088.003887,Abril,2020,,
1378.029,1940.357844,Mayo,2020,,
1070.219,2092.303724,Junio,2020,,
819.567,2322.737662,Julio,2020,,
634.118,2429.020425,Agosto,2020,,
602.621,2629.544969,Septiembre,2020,,
601.309,2714.86725,Octubre,2020,,
543.986,2934.140464,Noviembre,2020,,
531.246,3045.006708,Diciembre,2020,,
846.613,3316.037,Enero,2021,,
964.86,3383.504,Febrero,2021,,
1479.654,3645.733,Marzo,2021,,
1252.263,3661.72,Abril,2021,,
962.554,4054.709,Mayo,2021,,
775.106,3537.545,Junio,2021,,
768.036,4001.667,Julio,2021,,
567.511,4271.452,Agosto,2021,,
627.88,4282.705,Septiembre,2021,,
797.935,4727.3,Octubre,2021,,
714.986,4891.935,Noviembre,2021,,
854.203,4692.069,Diciembre,2021,,
