Produccion,Precio,Mes,Año,,
2236.034,2600.983046,Enero,2020,,
2475.169,2481.417266,Febrero,2020,,
3799.775,2336.218231,Marzo,2020,,
4447.333,2088.003887,Abril,2020,,
4180.275,1940.357844,Mayo,2020,,
2218.798,2092.303724,Junio,2020,,
1800.95,2322.737662,Julio,2020,,
1460.778,2429.020425,Agosto,2020,,
1415.939,2629.544969,Septiembre,2020,,
1671.281,2714.86725,Octubre,2020,,
1424.339,2934.140464,Noviembre,2020,,
1379.239,3045.006708,Diciembre,2020,,
1920.977,3316.037,Enero,2021,,
2233.062,3383.504,Febrero,2021,,
3849.776,3645.733,Marzo,2021,,
3389.32,3661.72,Abril,2021,,
2561.363,4054.709,Mayo,2021,,
1966.106,3537.545,Junio,2021,,
1490.701,4001.667,Julio,2021,,
1487.431,4271.452,Agosto,2021,,
1481.259,4282.705,Septiembre,2021,,
1770.85,4727.3,Octubre,2021,,
1864.577,4891.935,Noviembre,2021,,
1980.16,4692.069,Diciembre,2021,,
