Produccion,Precio,Mes,Año,,
5079.45,2600.983046,Enero,2020,,
4794.33,2481.417266,Febrero,2020,,
4518.52,2336.218231,Marzo,2020,,
3501.88,2088.003887,Abril,2020,,
5047.84,1940.357844,Mayo,2020,,
4254.43,2092.303724,Junio,2020,,
4918.67,2322.737662,Julio,2020,,
5283.23,2429.020425,Agosto,2020,,
5005.33,2629.544969,Septiembre,2020,,
4952.19,2714.86725,Octubre,2020,,
3851.94,2934.140464,Noviembre,2020,,
2725.07,3045.006708,Diciembre,2020,,
3175.25,3316.037,Enero,2021,,
3876.09,3383.504,Febrero,2021,,
5432.74,3645.733,Marzo,2021,,
5197.88,3661.72,Abril,2021,,
2601.61,4054.709,Mayo,2021,,
5723.69,3537.545,Junio,2021,,
4806.49,4001.667,Julio,2021,,
4396.32,4271.452,Agosto,2021,,
4590.15,4282.705,Septiembre,2021,,
4943.79,4727.3,Octubre,2021,,
4712.93,4891.935,Noviembre,2021,,
4534.85,4692.069,Diciembre,2021,,
