Produccion,Precio,Mes,Año,,
203.725,2600.983046,Enero,2020,,
312.076,2481.417266,Febrero,2020,,
446.573,2336.218231,Marzo,2020,,
559.504,2088.003887,Abril,2020,,
607.194,1940.357844,Mayo,2020,,
525.03,2092.303724,Junio,2020,,
627.334,2322.737662,Julio,2020,,
523.667,2429.020425,Agosto,2020,,
277.8,2629.544969,Septiembre,2020,,
209.803,2714.86725,Octubre,2020,,
194.095,2934.140464,Noviembre,2020,,
216.068,3045.006708,Diciembre,2020,,
400.215,3316.037,Enero,2021,,
406.492,3383.504,Febrero,2021,,
469.655,3645.733,Marzo,2021,,
588.177,3661.72,Abril,2021,,
469.885,4054.709,Mayo,2021,,
466.024,3537.545,Junio,2021,,
387.567,4001.667,Julio,2021,,
332.604,4271.452,Agosto,2021,,
243.1,4282.705,Septiembre,2021,,
242.741,4727.3,Octubre,2021,,
244.94,4891.935,Noviembre,2021,,
227.259,4692.069,Diciembre,2021,,
