Produccion,Precio,Mes,Año,,
1488.291,2600.983046,Enero,2020,,
1988.142,2481.417266,Febrero,2020,,
2194.966,2336.218231,Marzo,2020,,
2761.166,2088.003887,Abril,2020,,
3139.04,1940.357844,Mayo,2020,,
2897.888,2092.303724,Junio,2020,,
2406.34,2322.737662,Julio,2020,,
1800.281,2429.020425,Agosto,2020,,
1495.242,2629.544969,Septiembre,2020,,
1664.576,2714.86725,Octubre,2020,,
1537.225,2934.140464,Noviembre,2020,,
1655.788,3045.006708,Diciembre,2020,,
2028.121,3316.037,Enero,2021,,
2104.013,3383.504,Febrero,2021,,
2851.66,3645.733,Marzo,2021,,
2295.163,3661.72,Abril,2021,,
2179.751,4054.709,Mayo,2021,,
1708.591,3537.545,Junio,2021,,
1857.454,4001.667,Julio,2021,,
1620.129,4271.452,Agosto,2021,,
1690.799,4282.705,Septiembre,2021,,
1644.583,4727.3,Octubre,2021,,
1865.516,4891.935,Noviembre,2021,,
2038.35,4692.069,Diciembre,2021,,
