Produccion,Precio,Mes,Año,,
1074.399,2600.983046,Enero,2020,,
1328.649,2481.417266,Febrero,2020,,
1040.955,2336.218231,Marzo,2020,,
1294.476,2088.003887,Abril,2020,,
1328.521,1940.357844,Mayo,2020,,
908.779,2092.303724,Junio,2020,,
928.079,2322.737662,Julio,2020,,
1024.209,2429.020425,Agosto,2020,,
1214.713,2629.544969,Septiembre,2020,,
1143.426,2714.86725,Octubre,2020,,
947.818,2934.140464,Noviembre,2020,,
651.963,3045.006708,Diciembre,2020,,
319.434,3316.037,Enero,2021,,
1218.072,3383.504,Febrero,2021,,
1568.374,3645.733,Marzo,2021,,
1416.446,3661.72,Abril,2021,,
1093.555,4054.709,Mayo,2021,,
877.481,3537.545,Junio,2021,,
1252.387,4001.667,Julio,2021,,
1565.897,4271.452,Agosto,2021,,
1490.14,4282.705,Septiembre,2021,,
1133.317,4727.3,Octubre,2021,,
1155.444,4891.935,Noviembre,2021,,
1073.299,4692.069,Diciembre,2021,,
