Produccion,Precio,Mes,Año,,
196.184,2600.983046,Enero,2020,,
243.59,2481.417266,Febrero,2020,,
262.431,2336.218231,Marzo,2020,,
166.06,2088.003887,Abril,2020,,
200.24,1940.357844,Mayo,2020,,
209.735,2092.303724,Junio,2020,,
227.255,2322.737662,Julio,2020,,
143.25,2429.020425,Agosto,2020,,
160.165,2629.544969,Septiembre,2020,,
166.46,2714.86725,Octubre,2020,,
141.065,2934.140464,Noviembre,2020,,
129.65,3045.006708,Diciembre,2020,,
132.41,3316.037,Enero,2021,,
128.395,3383.504,Febrero,2021,,
126.095,3645.733,Marzo,2021,,
156.205,3661.72,Abril,2021,,
215.473,4054.709,Mayo,2021,,
208.461,3537.545,Junio,2021,,
248.341,4001.667,Julio,2021,,
240.051,4271.452,Agosto,2021,,
255.167,4282.705,Septiembre,2021,,
240.754,4727.3,Octubre,2021,,
216.663,4891.935,Noviembre,2021,,
122.871,4692.069,Diciembre,2021,,
