Produccion,Precio,Mes,Año,,
3781.73,2600.983046,Enero,2020,,
4449.17,2481.417266,Febrero,2020,,
5144.11,2336.218231,Marzo,2020,,
4096.96,2088.003887,Abril,2020,,
3878.44,1940.357844,Mayo,2020,,
3318.98,2092.303724,Junio,2020,,
2995.07,2322.737662,Julio,2020,,
2703.47,2429.020425,Agosto,2020,,
2483.79,2629.544969,Septiembre,2020,,
2711.57,2714.86725,Octubre,2020,,
2491.71,2934.140464,Noviembre,2020,,
2487.71,3045.006708,Diciembre,2020,,
3293.63,3316.037,Enero,2021,,
4002.1,3383.504,Febrero,2021,,
4897.51,3645.733,Marzo,2021,,
4067.93,3661.72,Abril,2021,,
3804.63,4054.709,Mayo,2021,,
3654.6,3537.545,Junio,2021,,
3639.12,4001.667,Julio,2021,,
3377.03,4271.452,Agosto,2021,,
3341.38,4282.705,Septiembre,2021,,
3235.59,4727.3,Octubre,2021,,
3035.42,4891.935,Noviembre,2021,,
2959.38,4692.069,Diciembre,2021,,
