Produccion,Precio,Mes,Año,,
283.282,2600.983046,Enero,2020,,283.282
347.022,2481.417266,Febrero,2020,,347.022
551.584,2336.218231,Marzo,2020,,551.584
544.349,2088.003887,Abril,2020,,544.349
557.55,1940.357844,Mayo,2020,,557.55
414.98,2092.303724,Junio,2020,,414.98
418.981,2322.737662,Julio,2020,,418.981
341.909,2429.020425,Agosto,2020,,341.909
372.775,2629.544969,Septiembre,2020,,372.775
396.76,2714.86725,Octubre,2020,,396.76
334.195,2934.140464,Noviembre,2020,,334.195
255.664,3045.006708,Diciembre,2020,,255.664
273.028,3316.037,Enero,2021,,273.028
360.818,3383.504,Febrero,2021,,360.818
573.141,3645.733,Marzo,2021,,573.141
706.974,3661.72,Abril,2021,,706.974
530.44,4054.709,Mayo,2021,,530.44
501.506,3537.545,Junio,2021,,501.506
445.526,4001.667,Julio,2021,,445.526
511.345,4271.452,Agosto,2021,,511.345
483.235,4282.705,Septiembre,2021,,483.235
460.36,4727.3,Octubre,2021,,460.36
506.469,4891.935,Noviembre,2021,,506.469
390.062,4692.069,Diciembre,2021,,390.062
