Produccion,Precio,Mes,Año,,
454.56,2600.983046,Enero,2020,,
611.726,2481.417266,Febrero,2020,,
896.585,2336.218231,Marzo,2020,,
1194.183,2088.003887,Abril,2020,,
1095.235,1940.357844,Mayo,2020,,
936.684,2092.303724,Junio,2020,,
896.023,2322.737662,Julio,2020,,
687.145,2429.020425,Agosto,2020,,
631.409,2629.544969,Septiembre,2020,,
760.153,2714.86725,Octubre,2020,,
577.346,2934.140464,Noviembre,2020,,
383.449,3045.006708,Diciembre,2020,,
460.467,3316.037,Enero,2021,,
595.107,3383.504,Febrero,2021,,
1017.011,3645.733,Marzo,2021,,
779.504,3661.72,Abril,2021,,
797.605,4054.709,Mayo,2021,,
922.419,3537.545,Junio,2021,,
803.301,4001.667,Julio,2021,,
1070.804,4271.452,Agosto,2021,,
1382.213,4282.705,Septiembre,2021,,
1208.063,4727.3,Octubre,2021,,
1366.169,4891.935,Noviembre,2021,,
715.138,4692.069,Diciembre,2021,,
