Produccion,Precio,Mes,Año,,
1018.163,2600.983046,Enero,2020,,
967.444,2481.417266,Febrero,2020,,
1176.388,2336.218231,Marzo,2020,,
349.862,2088.003887,Abril,2020,,
1200.753,1940.357844,Mayo,2020,,
1349.473,2092.303724,Junio,2020,,
1071.312,2322.737662,Julio,2020,,
1082.015,2429.020425,Agosto,2020,,
710.109,2629.544969,Septiembre,2020,,
672.418,2714.86725,Octubre,2020,,
761.001,2934.140464,Noviembre,2020,,
938.857,3045.006708,Diciembre,2020,,
1022.522,3316.037,Enero,2021,,
869.874,3383.504,Febrero,2021,,
1318.458,3645.733,Marzo,2021,,
1182.456,3661.72,Abril,2021,,
1200.094,4054.709,Mayo,2021,,
1250.442,3537.545,Junio,2021,,
1509.981,4001.667,Julio,2021,,
1303.608,4271.452,Agosto,2021,,
1240.262,4282.705,Septiembre,2021,,
1225.559,4727.3,Octubre,2021,,
1292.397,4891.935,Noviembre,2021,,
1445.909,4692.069,Diciembre,2021,,
