Produccion,Precio,Mes,Año,,
3192.249,2600.983046,Enero,2020,,
3282.42,2481.417266,Febrero,2020,,
3551.723,2336.218231,Marzo,2020,,
3254.508,2088.003887,Abril,2020,,
2922.079,1940.357844,Mayo,2020,,
2306.757,2092.303724,Junio,2020,,
2056.731,2322.737662,Julio,2020,,
1931.711,2429.020425,Agosto,2020,,
1847.668,2629.544969,Septiembre,2020,,
1977.519,2714.86725,Octubre,2020,,
1871.001,2934.140464,Noviembre,2020,,
1872.493,3045.006708,Diciembre,2020,,
2675.641,3316.037,Enero,2021,,
3067.851,3383.504,Febrero,2021,,
3581.499,3645.733,Marzo,2021,,
2894.215,3661.72,Abril,2021,,
2734.8,4054.709,Mayo,2021,,
2616.292,3537.545,Junio,2021,,
2624.463,4001.667,Julio,2021,,
2843.561,4271.452,Agosto,2021,,
2685.851,4282.705,Septiembre,2021,,
2468.908,4727.3,Octubre,2021,,
1998.726,4891.935,Noviembre,2021,,
2367.465,4692.069,Diciembre,2021,,
