Produccion,Precio,Mes,Año,,
767.757,2600.983046,Enero,2020,,
677.89,2481.417266,Febrero,2020,,
590.88,2336.218231,Marzo,2020,,
503.122,2088.003887,Abril,2020,,
1015.622,1940.357844,Mayo,2020,,
877.43,2092.303724,Junio,2020,,
969.846,2322.737662,Julio,2020,,
832.164,2429.020425,Agosto,2020,,
660.901,2629.544969,Septiembre,2020,,
602.86,2714.86725,Octubre,2020,,
686.054,2934.140464,Noviembre,2020,,
743.291,3045.006708,Diciembre,2020,,
658.71,3316.037,Enero,2021,,
767.57,3383.504,Febrero,2021,,
982.522,3645.733,Marzo,2021,,
937.725,3661.72,Abril,2021,,
978.944,4054.709,Mayo,2021,,
991.654,3537.545,Junio,2021,,
991.338,4001.667,Julio,2021,,
1012.666,4271.452,Agosto,2021,,
1009.432,4282.705,Septiembre,2021,,
934.84,4727.3,Octubre,2021,,
909.852,4891.935,Noviembre,2021,,
843.274,4692.069,Diciembre,2021,,
