Produccion,Precio,Mes,Año,,
2063.66,2600.983046,Enero,2020,,
2344.845,2481.417266,Febrero,2020,,
2578.476,2336.218231,Marzo,2020,,
2280.505,2088.003887,Abril,2020,,
2591.652,1940.357844,Mayo,2020,,
2186.265,2092.303724,Junio,2020,,
1723.976,2322.737662,Julio,2020,,
1174.179,2429.020425,Agosto,2020,,
1092.208,2629.544969,Septiembre,2020,,
1261.53,2714.86725,Octubre,2020,,
1094.684,2934.140464,Noviembre,2020,,
904.708,3045.006708,Diciembre,2020,,
1677.502,3316.037,Enero,2021,,
2687.726,3383.504,Febrero,2021,,
4121.034,3645.733,Marzo,2021,,
4033.935,3661.72,Abril,2021,,
3494.78,4054.709,Mayo,2021,,
2153.945,3537.545,Junio,2021,,
1922.897,4001.667,Julio,2021,,
2196.221,4271.452,Agosto,2021,,
2064.083,4282.705,Septiembre,2021,,
2863.214,4727.3,Octubre,2021,,
3330.841,4891.935,Noviembre,2021,,
2405.252,4692.069,Diciembre,2021,,
