Produccion,Precio,Mes,Año
242.28,2600.983046,Enero,2020
640.75,2481.417266,Febrero,2020
1055.62,2336.218231,Marzo,2020
1124.484,2088.003887,Abril,2020
1192.954,1940.357844,Mayo,2020
765.406,2092.303724,Junio,2020
690.65,2322.737662,Julio,2020
560.606,2429.020425,Agosto,2020
508.75,2629.544969,Septiembre,2020
796.226,2714.86725,Octubre,2020
541.188,2934.140464,Noviembre,2020
264.508,3045.006708,Diciembre,2020
1112.502,3316.037,Enero,2021
1507.306,3383.504,Febrero,2021
2533.533,3645.733,Marzo,2021
1670.97,3661.72,Abril,2021
1855.897,4054.709,Mayo,2021
1702.202,3537.545,Junio,2021
1165.595,4001.667,Julio,2021
1356.745,4271.452,Agosto,2021
1522.567,4282.705,Septiembre,2021
1439.741,4727.3,Octubre,2021
2219.167,4891.935,Noviembre,2021
1323.94,4692.069,Diciembre,2021
