Produccion,Precio,Mes,Año,,
2136.769,2600.983046,Enero,2020,,
2110.714,2481.417266,Febrero,2020,,
2211.734,2336.218231,Marzo,2020,,
1999.198,2088.003887,Abril,2020,,
1455.296,1940.357844,Mayo,2020,,
1533.667,2092.303724,Junio,2020,,
1445.67,2322.737662,Julio,2020,,
1126.147,2429.020425,Agosto,2020,,
859.678,2629.544969,Septiembre,2020,,
814.122,2714.86725,Octubre,2020,,
731.658,2934.140464,Noviembre,2020,,
847.761,3045.006708,Diciembre,2020,,
1165.585,3316.037,Enero,2021,,
1452.9,3383.504,Febrero,2021,,
2393.948,3645.733,Marzo,2021,,
2382.534,3661.72,Abril,2021,,
2580.912,4054.709,Mayo,2021,,
2178.747,3537.545,Junio,2021,,
1807.354,4001.667,Julio,2021,,
1343.127,4271.452,Agosto,2021,,
1422.64,4282.705,Septiembre,2021,,
1291.314,4727.3,Octubre,2021,,
1147.9,4891.935,Noviembre,2021,,
1199.023,4692.069,Diciembre,2021,,
