Produccion,Precio,Mes,Año,,
2422.099,2600.983046,Enero,2020,,
3599.81,2481.417266,Febrero,2020,,
5921.04,2336.218231,Marzo,2020,,
5632.19,2088.003887,Abril,2020,,
5469.73,1940.357844,Mayo,2020,,
3525.47,2092.303724,Junio,2020,,
3240.75,2322.737662,Julio,2020,,
2405.44,2429.020425,Agosto,2020,,
2271.14,2629.544969,Septiembre,2020,,
2503.72,2714.86725,Octubre,2020,,
2339.88,2934.140464,Noviembre,2020,,
2282.371,3045.006708,Diciembre,2020,,
3476.01,3316.037,Enero,2021,,
4393.4,3383.504,Febrero,2021,,
6323.719,3645.733,Marzo,2021,,
5572.181,3661.72,Abril,2021,,
4790.32,4054.709,Mayo,2021,,
3489.56,3537.545,Junio,2021,,
3232.581,4001.667,Julio,2021,,
2495.95,4271.452,Agosto,2021,,
2728.29,4282.705,Septiembre,2021,,
2854.1,4727.3,Octubre,2021,,
2744.21,4891.935,Noviembre,2021,,
2507.24,4692.069,Diciembre,2021,,
