Produccion,Precio,Mes,Año,,
1867.546,2600.983046,Enero,2020,,
2326.479,2481.417266,Febrero,2020,,
2505.692,2336.218231,Marzo,2020,,
2277.113,2088.003887,Abril,2020,,
2741.636,1940.357844,Mayo,2020,,
2266.901,2092.303724,Junio,2020,,
2446.198,2322.737662,Julio,2020,,
2227.507,2429.020425,Agosto,2020,,
1831.016,2629.544969,Septiembre,2020,,
1710.233,2714.86725,Octubre,2020,,
1420.352,2934.140464,Noviembre,2020,,
1650.552,3045.006708,Diciembre,2020,,
2211.654,3316.037,Enero,2021,,
2167.223,3383.504,Febrero,2021,,
3035.174,3645.733,Marzo,2021,,
2689.163,3661.72,Abril,2021,,
2859.45,4054.709,Mayo,2021,,
2815.04,3537.545,Junio,2021,,
2920.928,4001.667,Julio,2021,,
2737.971,4271.452,Agosto,2021,,
2447.181,4282.705,Septiembre,2021,,
2248.232,4727.3,Octubre,2021,,
1921.191,4891.935,Noviembre,2021,,
1803.988,4692.069,Diciembre,2021,,
