Produccion,Precio,Mes,Año,,
1374.099,2600.983046,Enero,2020,,
1601.677,2481.417266,Febrero,2020,,
1779.423,2336.218231,Marzo,2020,,
1694.565,2088.003887,Abril,2020,,
1454.714,1940.357844,Mayo,2020,,
922.252,2092.303724,Junio,2020,,
753.618,2322.737662,Julio,2020,,
399.922,2429.020425,Agosto,2020,,
432.397,2629.544969,Septiembre,2020,,
556.386,2714.86725,Octubre,2020,,
428.313,2934.140464,Noviembre,2020,,
542.383,3045.006708,Diciembre,2020,,
1130.832,3316.037,Enero,2021,,
1341.641,3383.504,Febrero,2021,,
1876.777,3645.733,Marzo,2021,,
1956.551,3661.72,Abril,2021,,
1625.076,4054.709,Mayo,2021,,
996.407,3537.545,Junio,2021,,
575.166,4001.667,Julio,2021,,
633.088,4271.452,Agosto,2021,,
723.386,4282.705,Septiembre,2021,,
731.366,4727.3,Octubre,2021,,
731.108,4891.935,Noviembre,2021,,
978.005,4692.069,Diciembre,2021,,
